log_lambda,lambda,avg_train_error_no_noise,avg_test_error_no_noise,avg_train_error_with_noise,avg_test_error_with_noise,error_ratio_no_noise,error_ratio_with_noise,sparsity_ratio_no_noise,sparsity_ratio_with_noise
0.0,1.0,0.9381362830461496,1.0821413406969476,0.9439259928581631,1.0887494266444855,1.1535012132599864,1.1534266826870652,0.751,0.7689999999999999
0.08126770916449574,1.0846612314544049,0.9395516491964007,1.0797201018396536,0.9450499782032347,1.08610599156479,1.1491865324946628,1.149257728813175,0.733,0.751
0.16253541832899143,1.176489987020186,0.9411679185288875,1.0772376797522902,0.9463627713449585,1.0834293601020104,1.144575434993672,1.1448351445210114,0.714,0.734
0.24380312749348718,1.2760930781150917,0.9430097146368179,1.0747240534624967,0.9478952984791951,1.0807229336347486,1.139674424113866,1.1401290156926218,0.6990000000000001,0.717
0.32507083665798286,1.3841286895587572,0.9451203143145529,1.0721394724299773,0.9496717891680937,1.0779973447028557,1.1343946968355503,1.1351262162343208,0.677,0.6910000000000001
0.40633854582247864,1.5013107289081733,0.9475211642579862,1.0695342180531784,0.9517168602437346,1.0752791893018419,1.1287707952051307,1.129830976228017,0.6569999999999999,0.6609999999999999
0.4876062549869744,1.6284135440132494,0.9502465514311146,1.0670099003270204,0.9540443979055414,1.0726477634660874,1.1228768983376523,1.124316400600351,0.6309999999999999,0.636
0.5688739641514702,1.766277039966443,0.953295734047264,1.064598634865954,0.9567021991312631,1.0700902939289583,1.1167558993956137,1.1185197388494117,0.605,0.612
0.6501416733159658,1.915812229259643,0.9566776102431452,1.0623196622912041,0.9596866445639334,1.0675579617619233,1.1104259689125675,1.1124026449768976,0.5700000000000001,0.584
0.7314093824804615,2.0780072518241726,0.9603721691490932,1.0602020619346735,0.9629845831919097,1.0651322185597567,1.103949173031567,1.10607400902439,0.534,0.545
0.8126770916449573,2.2539339047347906,0.9644570712810238,1.0583096708237982,0.9666895452816494,1.062961872117962,1.0973113291793448,1.0995897052018526,0.509,0.514
0.8939448008094532,2.4447547247264736,0.9689454534076611,1.0565900105632884,0.9707248071982217,1.061170384424811,1.0904535511750348,1.0931732418455855,0.46900000000000003,0.48200000000000004
