lambda,log_lambda,train_error_no_noise,test_error_no_noise,train_error_with_noise,test_error_with_noise,sparsity_no_noise,sparsity_with_noise,error_ratio_no_noise,error_ratio_with_noise
0.001,-6.907755278982137,4.010021708434763e-06,2.0149815876732973,2.6920273756167648,3431114.903880727,0.71,1.0,502486.45373538585,1274546.8099464
0.0011513953993264468,-6.766780681451889,4.941774182013581e-06,2.0399745217504113,2.572272589451124,3433112.9650930567,0.672,1.0,412802.0517763118,1334661.4115363336
0.0013257113655901094,-6.625806083921641,6.84786061020717e-06,2.0817333727058984,2.6668701416154352,3440270.4910307606,0.67,1.0,303997.62658762984,1290003.0029009378
0.0015264179671752333,-6.484831486391394,9.090515740437739e-06,2.01515707747724,2.6380961291969887,3428716.7501698807,0.657,1.0,221676.87015964658,1299693.6359606993
0.0017575106248547913,-6.343856888861146,1.1664259401660102e-05,2.05335433833662,2.691796770338705,3422971.1811159193,0.654,1.0,176038.12360726297,1271630.6144780803
0.0020235896477251575,-6.202882291330899,1.5663659182410597e-05,2.0815901898810996,2.6383708742111347,3423405.344924409,0.634,1.0,132892.97000400824,1297545.1549994834
0.002329951810515372,-6.061907693800651,2.0177884093068187e-05,2.100932202100765,2.760718758661762,3417615.9888289375,0.618,1.0,104120.54070736331,1237944.2774118728
0.0026826957952797246,-5.920933096270404,2.64215652680784e-05,2.1292238478133614,2.6193822060926104,3414030.5538209276,0.616,1.0,80586.5900150062,1303372.431056448
0.0030888435964774815,-5.7799584987401555,3.4724577393933326e-05,2.1319126713304604,2.5847005503630047,3415723.066310695,0.594,1.0,61394.92058160867,1321515.9743866571
0.0035564803062231283,-5.638983901209908,4.618249556693107e-05,2.1434522103942153,2.687594093399174,3415887.039342698,0.58,1.0,46412.65449347073,1270983.2365431362
0.004094915062380427,-5.49800930367966,6.060781231895967e-05,2.1411331340502473,2.6327462632886673,3417836.649999744,0.576,1.0,35327.67562673511,1298202.0704609752
0.004714866363457394,-5.357034706149412,8.01556153495233e-05,2.17463539954286,2.851258047914908,3404993.9980404796,0.566,1.0,27130.169109927407,1194207.588657404
0.005428675439323859,-5.216060108619165,0.00010650259538324392,2.1468077385117335,2.6466408106158474,3397499.156847101,0.564,0.999,20157.32791099184,1283702.3986101598
0.006250551925273976,-5.075085511088917,0.00014052397975979202,2.1691081053395207,2.7036335017797044,3397066.621452733,0.539,1.0,15435.857346534995,1256481.9230182518
0.0071968567300115215,-4.934110913558669,0.0001844631695457406,2.1631752126282113,2.6061201193903933,3388123.6395939803,0.536,1.0,11726.867850938761,1300064.2657969687
0.008286427728546842,-4.793136316028422,0.00024290314208000742,2.1647140389086186,2.7802904037135288,3377079.9187365035,0.542,1.0,8911.840416603607,1214650.0646931936
0.009540954763499945,-4.652161718498173,0.00032445653795663967,2.1575552094121577,2.648006185484333,3359947.14675706,0.529,1.0,6649.751066814666,1268859.2516042443
0.010985411419875584,-4.511187120967926,0.00042702158881659935,2.1674108515694215,2.590395228390916,3362509.527812623,0.519,1.0,5075.647012545538,1298068.1445670063
0.012648552168552958,-4.3702125234376785,0.0005641577972584273,2.167588324886088,2.6971232650788726,3341155.13345695,0.52,1.0,3842.1667402625076,1238784.7365809008
0.014563484775012436,-4.229237925907431,0.0007455475636266865,2.1719581754736574,2.7907682253362127,3319031.555796182,0.512,1.0,2913.238915178333,1189289.5746999297
0.016768329368110083,-4.088263328377183,0.0009791904057092108,2.167639039873375,2.572208855631384,3304948.5533141145,0.5,1.0,2213.705350088057,1284867.885466816
0.019306977288832496,-3.9472887308469358,0.00128241322855619,2.160659074552802,2.568067958616284,3292136.9000620195,0.498,1.0,1684.8384174774837,1281950.8490872942
0.022229964825261943,-3.806314133316688,0.0016864657211708204,2.1488634718988706,2.7355518956342912,3269800.150368828,0.493,1.0,1274.1815294099383,1195298.1610720498
0.025595479226995357,-3.66533953578644,0.002207177503274728,2.146108366543227,2.6693001950306634,3244207.0157254105,0.487,1.0,972.3315697804572,1215377.3568686766
0.029470517025518096,-3.5243649382561926,0.0028973517671901853,2.1284272256939007,2.6382992188972185,3212591.376418541,0.487,0.999,734.6112576996552,1217675.1421551688
0.03393221771895328,-3.3833903407259447,0.0037787599226817513,2.1129479342138846,2.6439982330246745,3186113.747666641,0.481,1.0,559.164375998342,1205036.2620786622
0.03906939937054617,-3.2424157431956973,0.004929848255533121,2.0967674675744528,2.605333959664793,3136986.401466099,0.473,1.0,425.3208940500553,1204063.0683176254
0.044984326689694466,-3.101441145665449,0.006414161752965422,2.077166588507107,2.6463237758974345,3105366.5996866254,0.474,0.998,323.8406932202455,1173464.3462640992
0.0517947467923121,-2.960466548135202,0.008329247623040163,2.054312687946809,2.553097256374888,3045514.3896646467,0.468,0.999,246.63844574199226,1192870.4956539476
0.05963623316594643,-2.819491950604954,0.010797015966119337,2.025360161315844,2.6496892626732316,2984481.2383682984,0.465,0.999,187.58517794836592,1126351.4104885266
0.06866488450043001,-2.678517353074706,0.013969527810505962,1.9914728735042453,2.534089526206501,2928909.7580719423,0.457,0.999,142.55835276025098,1155803.584594141
0.07906043210907697,-2.5375427555444587,0.017879352131382777,1.9581236021937483,2.5160896478801167,2850136.5287079867,0.453,0.999,109.51871118175177,1132764.299995954
0.09102981779915217,-2.396568158014211,0.022930153885451526,1.9250730543143109,2.6651116382341025,2772331.0678235134,0.447,0.998,83.95377824026336,1040230.746078785
0.10481131341546852,-2.2555935604839634,0.029359397561827535,1.887912574473503,2.6013868988267492,2685361.5100544044,0.432,0.995,64.30351884767985,1032280.7081351599
0.1206792640639329,-2.114618962953715,0.03712749026722014,1.8480218853456638,2.393143389475725,2575295.5563664637,0.417,0.996,49.7750284774105,1076114.1884317445
0.13894954943731375,-1.9736443654234679,0.04706761000301075,1.7996852860204513,2.572507275166632,2457746.880166927,0.41,0.992,38.236173154008284,955389.6713499977
0.15998587196060574,-1.8326697678932204,0.05977765352568433,1.7480928489855747,2.510543558387114,2330231.9279648345,0.402,0.99,29.24324970759318,928178.2505545851
0.18420699693267165,-1.6916951703629721,0.07550386155208402,1.692034261545725,2.2968344067617648,2182728.1125162947,0.385,0.98,22.409903636233583,950320.1911685287
0.21209508879201905,-1.5507205728327247,0.09471328534994822,1.6373663822912303,2.400237299786416,2022949.3585619105,0.369,0.979,17.287610457619138,842812.2330829214
0.244205309454865,-1.4097459753024775,0.11724824702510529,1.5881994090485703,2.3695312119870047,1852876.143035108,0.347,0.964,13.545613255168785,781958.9519065047
0.28117686979742307,-1.2687713777722291,0.14416117173012907,1.5371471051685701,2.47338557493667,1670719.4643386616,0.332,0.955,10.662698469502748,675478.777457267
0.32374575428176433,-1.1277967802419817,0.17736683863407307,1.4835615049109918,2.3683596022417093,1470011.009923018,0.309,0.931,8.364367975074186,620687.4194829271
0.3727593720314938,-0.9868221827117345,0.2160443251230492,1.4362090385834119,2.317646899996039,1256878.0564451506,0.284,0.897,6.647751741525316,542307.8280161222
0.42919342601287785,-0.8458475851814861,0.2601276296657876,1.389006638714644,2.3799982531794694,1040673.4361828489,0.263,0.875,5.339712050193368,437258.0672244613
0.49417133613238334,-0.7048729876512387,0.3086925140064155,1.3451504845848516,2.3397252310942287,815972.6521830854,0.229,0.817,4.357574037434856,348747.21242437355
0.5689866029018293,-0.5638983901209913,0.3624946700707312,1.3025977766776868,2.3329360519998965,591152.8442066385,0.204,0.778,3.593426012094245,253394.36273869404
