lambda,train_no,test_no,train_with,test_with,sparse_no,sparse_with
3.0,1.2351204147193562,1.059107329725864,1.2299156327937724,1.0585877710658091,0.002,0.002
1.6,1.07637209415598,1.0546094368405727,1.0784587744253018,1.0540239831325957,0.03,0.029
1.4,1.0062957806431196,1.054324758489779,1.0086779582562135,1.0537187621083188,0.046,0.047
1.2,0.9114524799181136,1.0681145226769841,0.9098829082223505,1.0712702088002972,0.072,0.075
1.0,0.7888637278309111,1.1016111628993392,0.7843117982873681,1.1118447594503007,0.112,0.115
0.9,0.7179769292343628,1.1272100101071565,0.7144324606755503,1.1424618421246326,0.133,0.132
0.8,0.6443441589399175,1.1598216956314373,0.6404700309908365,1.183293327890809,0.159,0.155
0.7,0.5658063376422429,1.2049362103026484,0.5600675364230647,1.2367029627229371,0.178,0.189
0.6,0.48220548640674793,1.264344060926406,0.46938471713563945,1.3102454667701813,0.212,0.223
0.5,0.38984424178505706,1.342268913256932,0.3732744925325719,1.4134212478358503,0.254,0.265
0.4,0.29318988871187446,1.4662106804432498,0.2790836346361297,1.564792811829504,0.295,0.299
0.3,0.1999124118280268,1.6257894127428332,0.18702372157057315,1.817198725586381,0.338,0.346
0.2,0.10877923736623529,1.8430608677112919,0.10141485357867254,2.4071522773471123,0.388,0.39
0.18,0.09166357438643823,1.8932643738708081,0.0833666618820179,2.676996894460204,0.401,0.414
0.16,0.07555222444543477,1.9509095885851244,0.06534692919201188,3.115407746278877,0.411,0.421
0.14,0.06038488988713028,2.0150770770366386,0.048879388403095664,4.17147860986139,0.421,0.45
0.12,0.046521157465312706,2.09371160487291,0.034224946947558996,8.26864426132432,0.425,0.466
0.11,0.04009977486814276,2.140427412892473,0.029302425559361408,29.425892085391485,0.438,0.496
